**Arme**,**Coût**,**Poids (kg)**,**Taille**,**Type**,**Facteur de Vitesse**,**Dégâts latéral**,**Dégâts estoc**
Alhulak,9 po,4.08,M,C,5,1d6,1d6
Ami du Barde,10 po,1.36,P,P/T,3,1d4+1,1d3
Ami du Gladiateur de cavalier,10 po,3.18,M,P/T/C,6,1d6/1d4,1d4/1d4
Ami du Gladiateur de piéton,15 po,6.8,G,P/T/C,8,1d6/1d8,1d6+1/1d6
Ankus (Aiguillon à éléphant),3 po,1.81,M,P/C,6,1d4,1d4
Arbalète à disques,175 po,4.54,M,—,10,—,—
Arbalète de poing,300 po,1.36,P,—,5,—,—
Arbalète double,60 po,3.63,M,—,8,—,—
Arbalète légère,35 po,3.18,M,—,7,—,—
Arbalète lourde,50 po,6.35,M,—,10,—,—
Arc court,30 po,0.91,M,—,7,—,—
Arc court composé,75 po,0.91,M,—,6,—,—
Arc court pliant,45 po,0.91,M,—,7,—,—
Arc de Pixie,50 po,0.45,TP,—,4,—,—
Arc elfique,150 po,1.36,G,C,8,1d6,1d3
Arc long,75 po,1.36,G,—,8,—,—
Arc long composé,100 po,1.36,G,—,7,—,—
Arc long de Géant,125 po,3.63,T,—,10,—,—
Arc long Kényan,60 po,1.81,G,—,13,—,—
"Arme d me d'hast, Guisarme-vouglier",7 po,6.8,G,P/T,10,2d4,1d10
"Arme d'hast, Bardiche",7 po,5.44,G,T,9,2d4,2d6
"Arme d'hast, Bec de corbin",8 po,4.54,G,P/C,9,1d8,1d6
"Arme d'hast, Broyeur (Crusher)",24 po,4.08,G,C,10,1d4,1d3
"Arme d'hast, Fauchard",5 po,3.18,G,P/T,8,1d6,1d8
"Arme d'hast, Fauchard à crochet",10 po,3.63,G,P/T,9,1d4,1d4
"Arme d'hast, Fauchard-fourche",8 po,4.08,G,P/T,8,1d8,1d10
"Arme d'hast, Fourche militaire4",5 po,3.18,G,P,7,1d8,2d4
"Arme d'hast, Glaive-guisarme4",10 po,4.54,G,P/T,9,2d4,2d6
"Arme d'hast, Glaive4",6 po,3.63,G,T,8,1d6,1d10
"Arme d'hast, Guisarme",5 po,3.63,G,T,8,2d4,1d8
"Arme d'hast, Guisarme-voulge",8 po,6.8,G,P/T,10,2d4,2d4
"Arme d'hast, Gythka",6 pc,5.44,G,P/C,9,2d4,1d10
"Arme d'hast, Hallebarde",10 po,6.8,G,P/T,9,1d10,2d6
"Arme d'hast, Hallebarde de Géant",25 po,15.88,T,P/T,12,1d12,2d8
"Arme d'hast, Marteau de Lucerne3",7 po,6.8,G,P/C,9,2d4,1d6
"Arme d'hast, Naginata3",8 po,4.54,G,P,7,1d8,1d10
"Arme d'hast, Pertuisane3",10 po,3.63,G,P,9,1d6,1d6+1
"Arme d'hast, Pique3",5 po,5.44,G,P,13,1d6,1d12
"Arme d'hast, Quad-fauchard",20 po,9.07,G,T,9,1d6,1d8
"Arme d'hast, Ranseur3",6 po,3.18,G,P,8,2d4,2d4
"Arme d'hast, Spetum3",5 po,3.18,G,P,8,1d6+1,2d6
"Arme d'hast, Tetsubo",2 po,3.18,G,C,7,1d8,1d8
"Arme d'hast, Trikal",12 po,3.63,G,T/C,8,1d10,1d10
"Arme d'hast, Voulge",5 po,5.44,G,T,10,2d4,2d4
Arquebuse,500 po,4.54,M,P,15,1d10,1d10
Assegai,2 po,0.45,M,P/T,4,1d8,1d10
Assommoir (Sap),1 po,0.05,P,C,2,1d2,1d2
Attrape-homme2,30 po,3.63,G,—,7,—,—
Bagh Nakh (Griffes de tigre),4 pa,0.45,P,P,2,1d2,1d2
Baselard,7 po,1.36,P,P/T,3,1d4+1,1d6+1
Bâton,—,1.81,G,C,4,1d6,1d6
Bâton Bo,2 pc,1.81,G,C,4,1d6,1d4
Bâton cornu,5 po,9.07,G,C,6,2d6,2d6
Bâton d'Hamanu,10 po,2.27,G,C,4,1d8,1d8
Bâton de Goblin,5 po,3.63,G,P,7,1d4,1d6
Bâtons chantants,5 pa,0.45,P,C,2,1d6,1d4
Bolas,5 pa,0.91,M,C,8,1d3,1d2
Bouclier à pointe,15 po,8.16,G,P,6,1d8,1d6
