INGRÉDIENTS,EFFET 1,EFFET 2,EFFET 3,EFFET 4
Abécéen à Longue Nageoire,Vulnérabilité à la Glace,Renfort de Furtivité,Vulnérabilité au Poison,Renfort de Guérison
Abeille,Restauration de Vigueur,Vigueur endommagée,Récupération de Vigueur,Vulnérabilité à la Foudre
Adamantium brut,Fardeau,Regain de magie,Poison,Réflexion
Ail,Résistance à la maladie,Dégâts d'agilité,Bouclier de froid,Fortification de force
Ail,Résistance au Poison,Renfort de Vigueur,Regain magique,Régénération de Santé
Aile de Fléchette Bleue,Résistance à la Foudre,Renfort de Vol à la Tire,Restauration de Santé,Peur
Aile de Fléchette Orange,Restauration de Vigueur,Magie endommagée,Renfort de Vol à la Tire,Pénalité de Santé persistante
Aile de Noctuelle,Pénalité de Magie,Renfort d'Armure Légère,Régénération de Santé,Invisibilité
Aile de Noctuelle ancestrale,Pénalité de Vigueur,Renfort de Conjuration,Dégâts Magie récupération,Renfort d'Enchantement
Aile de Papillon,Restauration de Santé,Renfort de Marchandage,Pénalité de Vigueur persistante,Pénalité de Magie
Aileron de Scalon,Respiration aquatique,Réduction de santé,Dégâts de foudre,Fardeau
Amanite Tue-mouches,Résistance au Feu,Renfort d'Arme à Deux Mains,Frénésie,Récupération de Vigueur
Ambroisie,Regain de santé,/,/,/
Ampoule de Varech rouge,Regain de rapidité,Respiration aquatique,Guérison de la maladie,Fortification de magie
Antennes de chasseur Chaurus,Pénalité de Vigueur,Renfort de Conjuration,Dégâts Mage récupération,Renfort d'Enchantement
Anthère de saule,Atténuation de personnalité,Bouclier de froid,Guérison de la maladie,Guérison de la paralysie
Anthère noire,Atténuation d'agilité,Résistance au feu,Atténuation d'endurance,Lumière
Atrophie de lune,Regain de magie,Bouclier,Guérison de la maladie,Réflexion de sort
Baie commune,Atténuation de fatigue,Regain de magie,Bouclier de feu,Réflexion
Baies de belladone verte,Résistance à la magie,Regain de magie,Magie fortifiée,Atténuation de magie
Baies de belladones mures,Résistance à la magie,Regain de magie,Magie fortifiée,Atténuation de magie
Baies de houx,Résistance au froid,Bouclier de froid,Dégâts de type froid,Vulnérabilité au feu
Bâtonnet de Spiddal,Réduction de santé,Réduction de magie,Dégâts de feu,Regain de fatigue
Bave de kwama,Résistance au poison,Atténuation de fatigue,Marche sur l'eau,Respiration aquatique
Bec de Faucon,Restauration de Vigueur,Résistance à la Glace,Renfort de Portage,Résistance à la Foudre
Bernache nordique,Pénalité de Magie,Respiration aquatique,Régénération de Santé,Renfort de Vol à la Tire
Bile de lutin,Fortification de personnalité,Guérison de paralysie,Réduction de santé,Dégâts de feu
Blé,Restauration de Santé,Renfort de Santé,Dégâts Vigueur récupération,Pénalité Magie persistante
Boeuf,Regain de fatigue,Bouclier,Fortification d'agilité,Dissipation
Bois de spriggan brûlé,Vulnérabilité au Feu,Renfort d'Altération,Dégâts Magie récupération,Langueur
Bouts de chair,Atténuation de fatigue,Atténuation de santé,Atténuation de magie,/
Branche d'aigremoine,Résistance au poison,Réduction de fatigue,Silence,Invisibilité
Branche de lavande,Regain de personnalité,Fortification de volonté,Regain de santé,Dégâts de chance
Branche de Somnalius,Regain de rapidité,Dégâts d'endurance,Fortification de santé,Plume
Brillefleur,Résistance à la Magie,Peur,Régénération de Santé,Paralysie
Brin de muguet,Regain d'endurance,Dégâts de force,Marche sur l'eau,Dégâts de volonté
Bruyère,Regain de personnalité,Plume,Atténuation de rapidité,Atténuation de personnalité
Buisson roux,Atténuation de volonté,Agilité fortifiée,Atténuation de santé,Guérison du poison
Bulbe de lys corné,Résistance à la paralysie,Atténuation de santé,Regain de force,Regain d'endurance
Bulbe sporifère,Atténuation de force,Atténuation de fatigue,Détection des clés,Paralysie
Capuchon du Ver,Regain de chance,Vision nocturne,Fortification de fatigue,Paralysie
Carotte,Regain de fatigue,Vision nocturne,Fortification d'intelligence,Dégâts d'endurance
Carpe du Hist,Restauration de Vigueur,Renfort de Magie,Dégâts Vigueur récupération,Respiration aquatique
Cendres d'engeance,Vigueur endommagée,Résistance au Feu,Renfort d'Enchantement,Magie endommagée
Chair de crabe,Regain de points de fatigue,Résistance à la foudre,Bouclier de foudre,Regain de chance
Chair de crabe,Regain d'endurance,Résistance à la foudre,Réduction de fatigue,Bouclier de feu
Chair de durzog,Agilité fortifiée,Force fortifiée,Cécité,Réduction de magie
Chair de mort,Réduction de fatigue,Dégâts de chance,Fortification de santé,Silence
Chair de sanglier,Regain de santé,Dégâts de rapidité,Fortification de santé,Fardeau
Chair humaine,Santé fortifiée,Atténuation d'intelligence,Atténuation de personnalité,/
Chair Humaine,Pénalité de Santé,Paralysie,Restauration de Magie,Renfort de Furtivité
Champignon luisant,Résistance à la Foudre,Renfort de Destruction,Renfort de Forgeage,Renfort de Santé
Chapeau blanc,Vulnérabilité à la Glace,Renfort d'Armure Lourde,Restauration de Magie,Magie endommagée
Chapeau d'Amanite Tue-mouche,Regain d'agilité,Fardeau,Regain de santé,Dégâts de foudre
Chapeau d'Entoloma Nitidum,Regain de magie,Dégâts de feu,Résistance au froid,Fardeau
Chapeau de Carpophore,Regain de magie,Fortification de magie,Vision nocturne,Invisibilité
Chapeau de Cèpe d'été,Regain d'agilité,Bouclier,Dégâts de personnalité,Dégâts d'endurance
Chapeau de Cèpe de pierre,Regain de santé,Dégâts d'intelligence,Résistance à la paralysie,Dégâts de foudre
Chapeau de Clavaire verte,Regain de chance,Fortification de chance,Réduction de fatigue,Regain de santé
Chapeau de Clitocybe nébuleux,Regain d'intelligence,Fortification d'intelligence,Dégâts d'endurance,Réduction de magie
Chapeau de Mitrula Palidosa,Regain de magie,Bouclier,Dégâts de personnalité,Dégâts d'endurance
Chapeau de Mutinus Elegans,Réduction de santé,Regain de magie,Marche sur l'eau,Invisibilité
Chapeau de Pézize orangée,Dégâts de volonté,Guérison de la maladie,Fortification de force,Dégâts d'intelligence
Chapeau de Pézize verte,Regain de fatigue,Dégâts de rapidité,Réflexion des dégâts,Réduction de santé
Chapeau de Polypore amadou,Regain de volonté,Résistance à la maladie,Invisibilité,Réduction de magie
Chapeau de Polypore cinabre jaune,Regain d'endurance,Fortification d'endurance,Dégâts de personnalité,Réflexion de sort
Chapeau de Polypore cinabre rouge,Regain d'agilité,Bouclier,Dégâts de personnalité,Dégâts d'endurance
Chapeau de Polypore écailleux,Regain de chance,Résistance au froid,Dégâts de rapidité,Dégâts de froid
Chapeau de Russule émétique,Regain d'agilité,Bouclier,Dégâts de personnalité,Dégâts d'endurance
Chitine de Vassard,Restauration de Vigueur,Potion médicinale,Résistance au Poison,Résistance au Feu
Chou de scrib,Atténuation d'intelligence,Réduction de santé,Regain d'agilité,Agilité fortifiée
Choucard,Santé endommagée,Vigueur endommagée,Magie endommagée,Pénalité de Santé persistante
Cire de dreugh,Force fortifiée,Regain de force,Atténuation de chance,Atténuation de volonté
Cire de Dreugh,Réduction de fatigue,Résistance au poison,Respiration aquatique,Réduction de santé
Citrouille,Regain de fatigue,Dégâts d'agilité,Dégâts de personnalité,Détection de vie
Cloquerille,Pénalité de Vigueur,Frénésie,Restauration de Santé,Renfort de Forgeage
Coeur de Daedra,Regain de santé,Bouclier de foudre,Réduction de magie,Silence
Coeur de Daedra,Regain de santé,Bouclier de foudre,Réduction de magie,Silence
Coeur de daédra,Regain de magie,Endurance fortifiée,Atténuation d'agilité,Vision nocturne
Coeur de Daédra,Restauration de Santé,Dégâts Vigueur Récupération,Pénalité de Magie,Peur
Coeur de fleur d'Aster,Regain d'agilité,Dissipation,Bouclier,Fardeau
Coeur de glycine,Regain d'intelligence,Fardeau,Lumière,Caméléon
Coeur de goule,Paralysie,Guérison du poison,Attaque fortifiée,/
Coeur de Ronce,Restauration de Magie,Renfort de Parade,Paralysie,Renfort de Magie
Coeur humain,Regain de santé,Bouclier de foudre,Réduction de magie,Silence
Coeur Humain,Pénalité de Santé,Pénalité de Magie,Dégâts Magie Récupération,Frénésie
Coprin violet,Marche sur l'eau,Atténuation de fatigue,Poison,/
Corne de Minotaure,Regain de volonté,Fardeau,Fortification d'endurance,Résistance à la paralysie
Cosse,Résistance au Poison,Magie endommagée,Renfort d'Altération,Restauration de Magie
Cosse cendrée,Résistance au Feu,Vulnérabilité à la Foudre,Renfort de Crochetage,Renfort de Furtivité
Coton sauvage,Résistance à la Magie,Renfort de Magie,Renfort de Parade,Renfort de Marchandage
Couronne sanglante,Vulnérabilité au Feu,Renfort de Parade,Vulnérabilité au Poison,Résistance à la Magie
Coutil,Regain de points de fatigue,Points de fatigue fortifiés,Plume,Télékinésie
Crochet d'épine,Réduction de santé,Dégâts de chance,Regain de magie,Fortification de santé
Cuir de hirsute,Cécité,Dégâts de type froid,Résistance au froid,Rappel
Cuir de netch,Endurance fortifiée,Intelligence fortifiée,Atténuation de personnalité,Guérison de la paralysie
Défense de horqueur,Atténuation d'altération,Intelligence fortifiée,Multip. de magie fortifié,Détection des animaux
Défense de Mammouth en poudre,Restauration de Vigueur,Renfort de Furtivité,Vulnérabilité au Feu,Peur
Défense de sanglier,Renfort de Vigueur,Renfort de Santé,Renfort de Parade,Frénésie
